sol,min_temp,max_temp
4,233.895,240.5205
5,234.737,253.7725
10,208.06650000000002,256.78499999999997
14,,
15,177.007,177.792
16,192.03449999999998,256.452
17,177.538,255.56850000000003
18,178.231,240.43
19,177.502,255.244
20,177.3995,256.0235
21,175.268,253.09300000000002
22,191.02249999999998,201.1395
23,175.9925,254.043
24,174.81,222.67849999999999
25,,
26,175.258,244.6625
27,,
28,,
29,,
30,,
32,,
33,,
34,192.4745,254.39049999999997
35,176.921,255.07
36,176.679,255.195
37,178.04899999999998,248.02300000000002
38,,
39,,
40,,
41,,
42,177.887,258.9115
43,179.29250000000002,258.8915
44,,
45,,
46,,
47,,
48,194.727,232.936
49,181.789,256.485
50,183.5305,255.05849999999998
51,182.7305,256.29499999999996
52,183.13549999999998,257.5045
53,182.9235,255.4115
54,,
55,,
56,184.26749999999998,256.5035
57,181.8535,256.368
58,182.3005,243.291
59,,
60,,
61,192.844,241.3525
62,181.5885,258.4275
63,181.1505,257.015
64,181.331,258.7735
65,180.96800000000002,257.7485
66,181.328,257.327
67,191.6845,192.245
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,226.9685,253.912
94,,
95,,
96,,
97,,
98,,
99,187.7415,247.73149999999998
100,177.631,253.494
101,177.228,253.833
102,176.885,254.26799999999997
103,,
104,,
105,177.97449999999998,255.56650000000002
106,177.308,255.293
107,177.5455,253.611
108,,
112,,
113,176.95499999999998,253.6445
114,176.888,197.0335
115,,
116,,
117,,
118,,
119,,
120,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,186.481,189.32299999999998
135,177.1395,251.01
136,176.30349999999999,251.072
137,176.7045,251.85649999999998
138,175.9195,239.89
139,176.043,250.665
140,,
141,,
142,,
143,175.7635,248.8715
144,174.997,248.9095
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,184.5965,202.42000000000002
163,174.10449999999997,249.2
164,173.76850000000002,250.837
165,173.434,226.7975
166,,
167,,
168,173.7615,202.6725
169,,
170,,
171,,
172,173.50799999999998,250.8675
173,172.8,249.889
174,172.76,249.912
175,172.90800000000002,250.764
176,173.5065,250.209
177,173.0245,250.11450000000002
178,184.1105,184.64049999999997
179,,
180,,
181,,
182,180.711,248.916
183,172.87849999999997,249.2815
184,172.45499999999998,249.2885
185,173.2655,250.175
186,172.2285,249.471
187,180.845,182.7285
188,,
189,,
190,181.3525,248.147
191,169.07350000000002,249.19600000000003
192,168.957,247.8635
193,170.1945,247.4355
194,170.9205,247.99
195,,
196,,
197,180.7995,248.174
198,169.339,247.06150000000002
199,168.9975,247.0775
200,169.897,247.154
201,172.47199999999998,247.26250000000002
202,171.216,246.301
203,169.675,246.23149999999998
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,183.35500000000002,248.499
212,171.8665,247.382
213,171.69150000000002,246.355
214,,
215,183.3635,245.69299999999998
216,171.355,246.656
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,175.652,245.2135
227,173.5185,245.436
228,174.9895,245.29649999999998
229,174.473,246.03
